name,description
Brill Online Reference Works,"A collection of reference works published by Brill. The collection includes, but is not limited to the following titles: Brill Dictionary of Religion; Encyclopaedia Islamica; Encyclopaedia of Islam :First edition & Second edition; Encyclopaedia of Judaism; Encyclopaedia of the Quran; Encyclopaedia of Women and Islamic Cultures; and Encyclopedia of Arabic Language and Linguistics.<br />  <br />  Availability: Full-text and bibliographic citations<br />  Date Coverage: Varies"
"British Mandate in Palestine, Arab-Jewish Relations, and the U.S. Consulate at Jerusalem, 1920-1944","Consists of correspondence and telegrams received and sent by the American consular post in Jerusalem between 1920 and 1944. The database contains unique materials on the relationship of Palestinians to other Arab countries, British policies, the Zionist movement in Palestine, and much more. Materials include government documents, reports and archival materials.<br />  <br />  Availability: Full-text<br />  Date Coverage: 1920-1944 <br />  … more<br />  Hint: To access the collection, go to Explore Topics from Archives Unbound page and select ""Middle Eastern Studies"" and under Explore Collections select “British Mandate in Palestine …” from the list."
British Periodicals,Digital archive of periodicals tracing the development of the periodical press in Britain from 17th century to the Victorian 'age of periodicals'.<br />  It consists of over 460 periodicals published from the 1680s to the 1930s.<br />  <br />  Availability: Full-text<br />  Date Coverage: 1681-1939
British Standards Online,"BSOL includes all British standards and international and European standards that have been adopted as British standards. It also includes ASTM, ISO and IEC standards that haven't been adopted as British standards. BSOL also holds BSI Publicly Available Specifications, as well as BSI books.<br />  To request a standard please contact Mr. Khaled Noubani, kn07@aub.edu.lb, ext: 2630"
Brockelmann in English: The History of the Arabic Written Tradition Online,"A multi-volume reference work offering bio-bibliographic information about works written in Arabic and their authors, with an emphasis on the classical period. The English translation spells out all the authors' names, which makes the translation much easier to consult.<br />  <br />  Availability: Full-text<br />  Date Coverage: - - - -"
Brockelmann Online,"A multivolume reference work offering bio-bibliographic information about works written in Arabic and their authors.<br />  The collection covers the original volumes of the Geschichte der arabischen Litteratur, as well as the three supplement volumes, including the index.<br />  <br />  Availability: Full-text<br />  Date Coverage: 1937-1947"
Building Types Online,"Building Types Online database is a resource for the study and practice of architectural design. The database includes more than 850 international case studies from the past 30 years and thematic articles on building design, photos and architectural plans.<br />  <br />  Availability: Full-text <br />  Date Coverage: Varies"
Business E-books Online,"A collection of online books, textbooks and reference materials in business education. Included e-books come from reputable publishers. Specialized areas of interest include strategic management, human resources management, marketing strategies, entrepreneurship, finance, consumer behavior and more. Majority of works are published in 2011 or later.<br />  <br />  Availability: Full-text<br />  Date Coverage: Varies"
Business Education Complete Online (BECO),"An online academic collection from Alexander Street Press in the fields of international business and human resource management. The database searches the full content from Alexander Street databases and includes textbooks, book chapters, cases, corporate training videos, sample business documents, executive-oriented research reports and more.<br />  <br />  Availability: Full-text and videos<br />  Date Coverage: Varies"
Business Education in Video,"Provides videos such as corporate training, case studies, executive interviews, expert lectures, instructional films and documentaries.<br />  The films in the collection come from CRM Learning, CARMA, Seven Dimensions, Learning Seed, Atma and others. The collection also provides access to archival video content from Bloomberg TV.<br />  <br />  Availability: Videos<br />  Date Coverage: Varies"
Business Source Ultimate,"Offers access to peer-reviewed, full-text journals and other resources that provide historical information and current trends in the business world. Features reports, company information and company profiles. Bloomberg.com is also searchable through Business Source Ultimate.<br />  <br />  Availability: Full-text<br />  Date Coverage: - - - -"
